Y,JD,S,E,A1,A2,A3,A4,P1,P2,P3,P4,Q1,Q2,Q3,Q4,COMMENTS,T1,N1,T2,N2,Grade,Traces,12LPX,12LPY,12LPZ,14SPZ,14LPX,14LPY,14LPZ,15SPZ,15LPX,15LPY,15LPZ,16SPZ,16LPX,16LPY,16LPZ
70,025,0241,0300,2,,,,2,,,,,,,,,A,12,A,12,C,2,,,1,1,,,,,,,,,,,
70,026,1142,1205,2,,,,2,,,,,,,,,,,A,1,C,3,,1,1,1,,,,,,,,,,,
70,026,1447,1520,1.5,,,,2,,,,,,,,,M,,A,13,C,2,,1,1,,,,,,,,,,,,
70,029,0017,0050,1.5,,,,2,,,,,,,,,A,7,A,7,C,3,,1,1,1,,,,,,,,,,,
70,029,1658,1745,1,,,,2,,,,6,,,,,,,A,206,,,,,,,,,,,,,,,,,
70,030,0629,0650,1,,,,2,,,,,,,,,,,,,C,2,,1,1,,,,,,,,,,,,
70,031,2330,2350,1,,,,2,,,,,,,,,,,A,303,C,2,,,1,1,,,,,,,,,,,
70,032,0348,0425,2,,,,2,,,,,,,,,A,6,A,6,C,3,,1,1,1,,,,,,,,,,,
70,032,0430,0500,1,,,,2,,,,2,,,,,,,A,65,C,2,,,1,1,,,,,,,,,,,
70,033,0203,0230,1,,,,2,,,,,,,,,,,A,217,,,,,,,,,,,,,,,,,
70,033,1059,1130,2,,,,2,,,,,,,,,A,4,A,4,B,3,,1,1,1,,,,,,,,,,,
70,033,1430,1510,2,,,,2,,,,,,,,,A,1,A,1,B,3,,1,1,1,,,,,,,,,,,
70,033,1520,1610,2,,,,2,,,,,,,,,A,7,A,7,,,,,,,,,,,,,,,,,
70,033,2057,,-1,,,,,,,,,,,,,,,A,14,,,,,,,,,,,,,,,,,
70,034,1835,1910,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,034,2029,2100,1,,,,2,,,,,,,,,M,,A,86,C,3,,1,1,1,,,,,,,,,,,
70,035,1849,1930,1,,,,2,,,,,,,,,,,A,6,,,,,,,,,,,,,,,,,
70,035,2040,2135,3,,,,2,,,,,,,,,A,1,A,1,B,3,,1,1,1,,,,,,,,,,,
70,036,0422,0500,1,,,,2,,,,,,,,,A,6,A,6,C,3,,1,1,1,,,,,,,,,,,
70,036,0811,0845,1,,,,2,,,,,,,,,,,A,5,C,3,,1,1,1,,,,,,,,,,,
70,036,1432,1510,1,,,,2,,,,,,,,,M,,A,22,C,3,,1,1,1,,,,,,,,,,,
70,036,1627,1650,0.5,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,037,0806,0845,2,,,,2,,,,,,,,,A,3,A,3,B,3,,1,1,1,,,,,,,,,,,
70,038,0133,0220,3.5,,,,2,,,,,,,,,A,1,A,1,B,3,,1,1,1,,,,,,,,,,,
70,038,0326,0420,3.5,,,,2,,,,,,,,,A,5,A,5,B,3,,1,1,1,,,,,,,,,,,
70,038,1339,1410,1.5,,,,2,,,,,,,,,,,A,5,C,2,,1,1,,,,,,,,,,,,
70,040,0821,,-1,,,,,,,,,,,,,,,A,1,,,,,,,,,,,,,,,,,
70,041,0720,0800,1,,,,2,,,,,,,,,,,,,C,3,,1,1,1,,,,,,,,,,,
70,043,2134,2215,1,,,,2,,,,,,,,T?,,,,,,,,,,,,,,,,,,,,,
70,047,1041,1130,3,,,,,,,,,,,,,,,,,C,3,,1,1,1,,,,,,,,,,,
70,049,0029,0110,1,,,,2,,,,,,,,TX,A,10,A,10,C,3,,1,1,1,,,,,,,,,,,
70,049,0141,0230,6,,,,2,,,,,,,,,C,,C,,B,3,,1,1,1,,,,,,,,,,,
70,049,0332,0410,1,,,,2,,,,,,,,,M,,A,10,C,1,,,,1,,,,,,,,,,,
70,049,0751,0830,1,,,,2,,,,,,,,,,,A,301,C,2,,,1,1,,,,,,,,,,,
70,049,1211,1420,9,,,,2,,,,,,,,,C,,C,,,,,,,,,,,,,,,,,,
70,049,1438,1515,2,,,,2,,,,,,,,,A,2,A,2,C,3,,1,1,1,,,,,,,,,,,
70,049,1530,1620,0.5,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,050,0028,0100,0.5,,,,2,,,,,,,,,,,A,15,,,,,,,,,,,,,,,,,
70,050,0358,0440,1,,,,2,,,,,,,,,A,9,A,9,,,,,,,,,,,,,,,,,
70,050,0836,0915,1,,,,2,,,,,,,,,M,,A,208,C,3,,1,1,1,,,,,,,,,,,
70,050,0933,1020,0.5,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,050,1635,1720,0.5,,,,2,,,,,,,,,,,A,10,,,,,,,,,,,,,,,,,
70,051,0517,0600,1,,,,2,,,,,,,,,,,,,C,3,,1,1,1,,,,,,,,,,,
70,051,1025,1105,1,,,,2,,,,,,,,,,,A,42,,,,,,,,,,,,,,,,,
70,051,1225,1300,1,,,,2,,,,,,,,,,,A,1,,,,,,,,,,,,,,,,,
70,051,1335,1410,1,,,,2,,,,,,,,,,,,,C,2,,1,,1,,,,,,,,,,,
70,051,1612,1700,2,,,,2,,,,,,,,,A,8,A,8,C,3,,1,1,1,,,,,,,,,,,
70,051,1817,1850,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,051,1911,1940,1,,,,2,,,,,,,,,M,,A,10,C,3,,1,1,1,,,,,,,,,,,
70,051,2304,,-1,,,,,,,,,,,,,,,A,10,,,,,,,,,,,,,,,,,
70,052,0735,0820,2,,,,2,,,,,,,,,C,,C,,C,1,,,,1,,,,,,,,,,,
70,052,1148,1210,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,052,1851,1912,1.5,,,,2,,,,,,,,,A,12,A,12,C,3,,1,1,1,,,,,,,,,,,
70,054,0531,0604,1,,,,2,,,,,,,,,,,A,13,C,3,,1,1,1,,,,,,,,,,,
70,054,2140,2240,2.5,,,,2,,,,,,,,,C,,C,,,,,,,,,,,,,,,,,,
70,056,0605,0630,1.5,,,,2,,,,,,,,,,,,,C,4,1,1,1,1,,,,,,,,,,,
70,057,1631,1730,1.5,,,,2,,,,,,,,,A,7,A,7,C,3,,1,1,1,,,,,,,,,,,
70,060,1828,1850,1,,,,2,,,,,,,,,,,A,304,C,1,,,,1,,,,,,,,,,,
70,060,1853,1930,1,,,,2,,,,,,,,,,,A,65,C,3,,1,1,1,,,,,,,,,,,
70,061,0130,0150,1,,,,2,,,,,,,,,,,A,18,C,1,,,,1,,,,,,,,,,,
70,061,0152,0250,2,,,,2,,,,,,,,,A,1,A,1,,,,,,,,,,,,,,,,,
70,061,0444,0550,3,,,,2,,,,,,,,,A,6,A,6,C,3,,1,1,1,,,,,,,,,,,
70,061,0801,0840,1.5,,,,2,,,,,,,,,M,,A,22,C,1,,,,1,,,,,,,,,,,
70,061,1059,1130,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,061,1521,1600,1,,,,2,,,,,,,,,,,A,80,C,1,,,,1,,,,,,,,,,,
70,061,2204,2240,1.5,,,,2,,,,,,,,,A,4,A,4,C,2,,,1,1,,,,,,,,,,,
70,062,0737,0810,2,,,,2,,,,,,,,,C,,C,,C,3,,1,1,1,,,,,,,,,,,
70,062,0830,0920,2.5,,,,2,,,,,,,,,A,7,A,7,C,3,,1,1,1,,,,,,,,,,,
70,062,0955,1020,1,,,,2,,,,,,,,,,,A,30,,,,,,,,,,,,,,,,,
70,062,1328,1355,0.5,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,062,1532,1610,1,,,,2,,,,,,,,,M,,A,5,,,,,,,,,,,,,,,,,
70,062,2017,2130,4.5,,,,2,,,,,,,,,C,,C,,B,3,,1,1,1,,,,,,,,,,,
70,063,0422,0530,6,,,,2,,,,,,,,,A,1,A,1,C,3,,1,1,1,,,,,,,,,,,
70,064,1702,1730,1,,,,2,,,,,,,,,,,A,6,,,,,,,,,,,,,,,,,
70,064,1910,1940,0.5,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,064,2345,0040,1.5,,,,2,,,,,,,,,A,1,A,1,C,3,,1,1,1,,,,,,,,,,,
70,065,0140,0200,0.5,,,,2,,,,,,,,,,,A,3,,,,,,,,,,,,,,,,,
70,065,0845,0910,0.5,,,,2,,,,,,,,,,,A,218,,,,,,,,,,,,,,,,,
70,065,2134,2210,1,,,,2,,,,,,,,,A,5,A,5,,,,,,,,,,,,,,,,,
70,066,1226,1310,1,,,,2,,,,,,,,T?,,,,,,,,,,,,,,,,,,,,,
70,066,2255,2330,2,,,,2,,,,6,,,,,A,1,A,1,C,3,,1,1,1,,,,,,,,,,,
70,070,1957,2030,1,,,,2,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,
70,073,1200,1310,4,,,,2,,,,,,,,,C,,C,,B,3,,1,1,1,,,,,,,,,,,
70,074,0903,0950,1.5,,,,2,,,,,,,,,M,,A,205,C,3,,1,1,1,,,,,,,,,,,
70,074,1839,1910,1,,,,2,,,,,,,,,M,,A,205,C,3,,1,1,1,,,,,,,,,,,
70,075,1636,1715,1,,,,2,,,,,,,,,M,,A,39,C,3,,1,1,1,,,,,,,,,,,
70,076,0109,0140,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,077,0804,0845,2,,,,2,,,,,,,,,A,2,A,2,C,3,,1,1,1,,,,,,,,,,,
70,077,0859,0940,1.5,,,,2,,,,,,,,,A,9,A,9,C,3,,1,1,1,,,,,,,,,,,
70,078,1101,1150,2.5,,,,2,,,,,,,,,C,,C,,,,,,,,,,,,,,,,,,
70,078,2101,2130,1,,,,2,,,,,,,,,,,A,1,,,,,,,,,,,,,,,,,
70,079,0557,0650,2,,,,2,,,,,,,,,A,8,A,8,C,3,,1,1,1,,,,,,,,,,,
70,079,1550,,-1,,,,,,,,,,,,,,,A,10,,,,,,,,,,,,,,,,,
70,080,0529,0600,2,,,,2,,,,,,,,,A,12,A,12,C,3,,1,1,1,,,,,,,,,,,
70,080,1148,1250,4.5,,,,2,,,,,,,,,C,,C,,C,3,,1,1,1,,,,,,,,,,,
70,081,0511,0545,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,081,1930,1950,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,082,0457,0535,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,083,1504,1610,2,,,,2,,,,,,,,,,,,,C,3,,1,1,1,,,,,,,,,,,
70,084,0000,0030,0.5,,,,,,,,,,,,,,,A,7,,,,,,,,,,,,,,,,,
70,084,0332,0455,5,,,,2,,,,,,,,,C,,C,,A,3,,1,1,1,,,,,,,,,,,
70,085,1019,1050,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,085,2017,2140,10.5,,,,2,,,,,,,,,C,,C,,A,3,,1,1,1,,,,,,,,,,,
70,088,0246,0350,2,,,,2,,,,,,,,,C,,C,,C,3,,1,1,1,,,,,,,,,,,
70,088,1755,1830,0.5,,,,2,,,,,,,,,,,A,219,,,,,,,,,,,,,,,,,
70,088,2128,2210,1.5,,,,2,,,,,,,,,A,4,A,4,C,3,,1,1,1,,,,,,,,,,,
70,088,2240,2320,1,,,,2,,,,,,,,,,,A,6,,,,,,,,,,,,,,,,,
70,089,1035,1125,1.5,,,,2,,,,,,,,,A,7,A,7,C,3,,1,1,1,,,,,,,,,,,
70,089,1157,1225,1,,,,2,,,,,,,,,,,A,44,,,,,,,,,,,,,,,,,
70,089,1251,1355,4,,,,2,,,,,,,,,A,6,A,6,B,3,,1,1,1,,,,,,,,,,,
70,089,1740,1855,9,,,,2,,,,,,,,,A,1,A,1,B,3,,1,1,1,,,,,,,,,,,
70,089,2148,2225,1,,,,2,,,,,,,,,,,A,6,C,2,,,1,1,,,,,,,,,,,
70,089,2327,0015,1,,,,2,,,,,,,,,,,A,304,C,1,,,,1,,,,,,,,,,,
70,090,1118,1200,1.5,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,090,1639,1710,1,,,,2,,,,,,,,,,,A,14,C,1,,,,1,,,,,,,,,,,
70,091,0028,0105,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,091,0130,0215,1.5,,,,2,,,,,,,,,,,,,C,3,,1,1,1,,,,,,,,,,,
70,091,0300,0340,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,091,0611,0650,1.5,,,,2,,,,,,,,,A,5,A,5,C,3,,1,1,1,,,,,,,,,,,
70,091,0809,0850,1,,,,2,,,,,,,,,,,A,224,,,,,,,,,,,,,,,,,
70,091,0952,1035,2,,,,2,,,,,,,,,A,1,A,1,,,,,,,,,,,,,,,,,
70,091,1203,1235,1,,,,2,,,,,,,,,,,,,C,2,,,1,1,,,,,,,,,,,
70,092,1703,1735,1,,,,2,,,,,,,,,A,64,A,64,,,,,,,,,,,,,,,,,
70,093,1049,1205,6,,,,2,,,,,,,,,A,1,A,1,B,3,,1,1,1,,,,,,,,,,,
70,094,2053,2120,1,,,,2,,,,,,,,,,,,,C,2,,1,1,,,,,,,,,,,,
70,095,1137,1240,4,,,,2,,,,,,,,,C,,C,,B,3,,1,1,1,,,,,,,,,,,
70,095,2347,,-1,,,,,,,,,,,,,,,A,1,,,,,,,,,,,,,,,,,
70,096,1110,1140,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,098,0022,0150,12,,,,2,,,,,,,,,C,,C,,C,3,,1,1,1,,,,,,,,,,,
70,098,0809,1010,15,,,,2,,,,,,,,,C,,C,,C,3,,1,1,1,,,,,,,,,,,
70,100,1105,1140,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,101,2358,0040,2,,,,2,,,,,,,,,,,A,100,,,,,,,,,,,,,,,,,
70,102,0240,0335,1,,,,2,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,
70,102,0635,0710,1,,,,2,,,,,,,,,,,A,205,C,3,,1,1,1,,,,,,,,,,,
70,102,0720,0750,1,,,,2,,,,,,,,,,,A,23,,,,,,,,,,,,,,,,,
70,103,1442,1510,1,,,,2,,,,,,,,,,,,,C,2,,,1,1,,,,,,,,,,,
70,103,1605,1645,1.5,,,,2,,,,,,,,,A,23,A,10,C,2,,,1,1,,,,,,,,,,,
70,103,2110,2145,1,,,,2,,,,,,,,,,,A,301,C,3,,1,1,1,,,,,,,,,,,
70,104,0135,0210,1,,,,2,,,,,,,,,,,A,10,C,2,,,1,1,,,,,,,,,,,
70,104,1042,1150,1.5,,,,2,,,,,,,,,A,9,A,9,C,2,,,1,1,,,,,,,,,,,
70,105,0109,0500,790,,,,2,,,,5,,,,13 S4B IMP,S,,S,,B,3,,1,1,1,,,,,,,,,,,
70,105,1215,1310,1,,,,2,,,,,,,,,,,,,C,2,,,1,1,,,,,,,,,,,
70,106,0439,0510,1,,,,2,,,,,,,,,,,A,1,,,,,,,,,,,,,,,,,
70,106,1135,1210,2.5,,,,2,,,,6,,,,,,,A,53,,,,,,,,,,,,,,,,,
70,107,0153,0225,1,,,,2,,,,,,,,,,,A,10,C,1,,,,1,,,,,,,,,,,
70,107,0625,0710,1,,,,2,,,,,,,,,,,,,C,1,,,,1,,,,,,,,,,,
70,107,0818,0900,1,,,,2,,,,,,,,,,,A,13,,,,,,,,,,,,,,,,,
70,107,1441,1520,1.5,,,,2,,,,,,,,,,,A,12,C,3,,1,1,1,,,,,,,,,,,
70,107,1828,1900,1,,,,2,,,,,,,,,,,A,222,,,,,,,,,,,,,,,,,
70,108,0035,0110,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
